Title,Price,Final Price,Link
Prison Architect - Jungle Pack,2.3,2.76,https://www.instant-gaming.com/fr/13547-acheter-prison-architect-jungle-pack-pc-jeu-steam/
Sky Haven,11.18,13.42,https://www.instant-gaming.com/fr/9762-acheter-sky-haven-pc-jeu-steam/
Aliens: Fireteam Elite - Into the Hive Edition,18.99,22.79,https://www.instant-gaming.com/fr/13064-acheter-aliens-fireteam-elite-into-the-hive-edition-into-the-hive-edition-pc-jeu-steam-europe/
Commandos 3 - HD Remaster,11.99,14.39,https://www.instant-gaming.com/fr/12761-acheter-commandos-3-hd-remaster-pc-jeu-steam/
Deliver Us Mars: Deluxe Edition,21.99,26.39,https://www.instant-gaming.com/fr/12188-acheter-deliver-us-mars-deluxe-edition-deluxe-edition-pc-jeu-steam/
Star Ocean: The Divine Force Digital Deluxe Edition,39.99,47.99,https://www.instant-gaming.com/fr/13000-acheter-star-ocean-the-divine-force-digital-deluxe-edition-digital-deluxe-edition-pc-jeu-steam/
The Entropy Centre,13.69,16.43,https://www.instant-gaming.com/fr/13108-acheter-the-entropy-centre-pc-jeu-steam/
Train Life: A Railway Simulator,8.12,9.74,https://www.instant-gaming.com/fr/9485-acheter-train-life-a-railway-simulator-pc-jeu-steam/
Dark Light,7.48,8.98,https://www.instant-gaming.com/fr/8792-acheter-dark-light-pc-mac-jeu-steam/
Brewmaster: Beer Brewing Simulator,9.99,11.99,https://www.instant-gaming.com/fr/12930-acheter-brewmaster-beer-brewing-simulator-pc-jeu-steam/
Antioch: Scarlet Bay,4.1,4.92,https://www.instant-gaming.com/fr/13217-acheter-antioch-scarlet-bay-pc-mac-jeu-steam/
Tinykin,10.99,13.19,https://www.instant-gaming.com/fr/9089-acheter-tinykin-pc-jeu-steam/
Tactics Ogre : Reborn,39.97,47.96,https://www.instant-gaming.com/fr/12203-acheter-tactics-ogre-reborn-pc-jeu-steam/
